year,age,age_gp,edu,parity,add_exp,intention,race,marital,birth_5yr,birth_5yr_binary,race_only,hisp_only,marital_formal,weight,SECU,SEST,wants_more_kids
2015-2017,16,15-19,<HS,0,2,2,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,7733.57946695665,3,364,1
2015-2017,31,30-34,Post-Grad,2,1,3,Non-Hispanic White,Married,2,1,White,Non-Hispanic,Married,7401.40668790125,1,364,1
2015-2017,35,35-39,Post-Grad,1,0,1,Non-Hispanic White,Never Married,1,1,White,Non-Hispanic,Never Married,8986.8893726296,1,351,0
2015-2017,41,40-44,Some College,1,1,2,Hispanic,Never Married,0,0,White,Hispanic,Never Married,3181.57725236451,1,367,1
2015-2017,15,15-19,<HS,0,1,1,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,1924.916,4,367,1
2015-2017,28,25-29,Some College,1,1,2,Non-Hispanic Black,Never Married,1,1,Black,Non-Hispanic,Never Married,2552.45639510703,2,329,1
2015-2017,42,40-44,Bachelor,2,0,2,Non-Hispanic White,Married,2,1,White,Non-Hispanic,Married,6389.09422106302,2,305,0
2015-2017,32,30-34,HS,4,0,4,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,7773.33790384381,2,365,0
2015-2017,15,15-19,<HS,0,0,0,Hispanic,Never Married,0,0,White,Hispanic,Never Married,3160.54188976253,1,312,0
2015-2017,23,20-24,Bachelor,0,0,0,Other or Multiple,Never Married,0,0,Black,Non-Hispanic,Never Married,10149.9186370642,2,337,0
2015-2017,16,15-19,<HS,0,2,2,Hispanic,Never Married,0,0,White,Hispanic,Never Married,2795.00342313213,3,343,1
2015-2017,27,25-29,<HS,2,1,3,Non-Hispanic White,Cohabitating,0,0,White,Non-Hispanic,Never Married,4629.00210725249,4,347,1
2015-2017,36,35-39,HS,0,0,0,Hispanic,Never Married,0,0,White,Hispanic,Never Married,12669.3690056093,3,364,0
2015-2017,15,15-19,<HS,0,4,4,Hispanic,Never Married,0,0,Other,Hispanic,Never Married,6661.22812703257,1,309,1
2015-2017,29,25-29,HS,3,0,3,Non-Hispanic Black,Never Married,1,1,Black,Non-Hispanic,Never Married,3484.20553134333,3,316,0
2015-2017,17,15-19,<HS,0,4,4,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,4090.27831187769,3,364,1
2015-2017,43,40-44,Post-Grad,1,2,3,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,10874.083592471,1,311,1
2015-2017,28,25-29,Post-Grad,0,2,2,Hispanic,Cohabitating,0,0,White,Hispanic,Never Married,23818.5505606184,3,364,1
2015-2017,28,25-29,<HS,2,1,3,Non-Hispanic White,Cohabitating,2,1,White,Non-Hispanic,Never Married,9831.31275902051,4,351,1
2015-2017,35,35-39,HS,0,0,0,Other or Multiple,Never Married,0,0,Black,Non-Hispanic,Never Married,3072.27338751346,4,364,0
2015-2017,42,40-44,HS,4,1,5,Other or Multiple,Never Married,0,0,Other,Non-Hispanic,Never Married,4826.43376586781,1,366,1
2015-2017,25,25-29,Bachelor,0,2,2,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,13671.5957418648,1,347,1
2015-2017,37,35-39,Post-Grad,0,2,2,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,13714.8092071248,4,311,1
2015-2017,24,20-24,Some College,2,0,2,Hispanic,Never Married,2,1,White,Hispanic,Never Married,10215.9308082797,1,351,0
2015-2017,29,25-29,Some College,1,1,2,Hispanic,Married,1,1,White,Hispanic,Married,12797.3262226779,1,367,1
2015-2017,26,25-29,Some College,1,1,2,Other or Multiple,Married,1,1,Other,Non-Hispanic,Married,5169.0406099536,1,316,1
2015-2017,36,35-39,Post-Grad,0,0,0,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,24021.9768102696,4,351,0
2015-2017,42,40-44,Some College,0,0,0,Other or Multiple,Married,0,0,Other,Non-Hispanic,Married,4228.81266098483,4,337,0
2015-2017,25,25-29,Some College,0,4,4,Hispanic,Cohabitating,0,0,Black,Hispanic,Never Married,35305.166776706,1,311,1
2015-2017,40,40-44,Bachelor,0,0,0,Hispanic,Never Married,0,0,White,Hispanic,Never Married,3428.23380612896,2,305,0
2015-2017,25,25-29,Some College,0,4,4,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,5182.09509900653,4,309,1
2015-2017,33,30-34,Some College,2,0,2,Non-Hispanic White,Married,1,1,White,Non-Hispanic,Married,4061.54227110366,1,309,0
2015-2017,22,20-24,<HS,1,1,2,Hispanic,Married,1,1,White,Hispanic,Married,26045.626438674,4,343,1
2015-2017,41,40-44,Post-Grad,1,0,1,Non-Hispanic White,Married,1,1,White,Non-Hispanic,Married,17877.1605914157,1,351,0
2015-2017,22,20-24,HS,1,2,3,Non-Hispanic White,Married,1,1,White,Non-Hispanic,Married,19397.5250462467,3,329,1
2015-2017,44,40-44,HS,3,0,3,Non-Hispanic White,Cohabitating,0,0,White,Non-Hispanic,Formerly Married,11857.8120364957,3,329,0
2015-2017,21,20-24,Some College,0,2,2,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,2619.31946319279,3,365,1
2015-2017,35,35-39,HS,2,0,2,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,5748.66867358454,2,329,0
2015-2017,32,30-34,Bachelor,1,1,2,Hispanic,Never Married,1,1,White,Hispanic,Never Married,21252.9767215822,1,365,1
2015-2017,16,15-19,<HS,0,3,3,Other or Multiple,Never Married,0,0,Other,Non-Hispanic,Never Married,18676.706053359,1,305,1
2015-2017,44,40-44,HS,3,0,3,Hispanic,Married,0,0,White,Hispanic,Married,13918.629123147,1,312,0
2015-2017,35,35-39,Some College,1,0.5,1.5,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,3515.77882422507,4,367,1
2015-2017,42,40-44,HS,3,0,3,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,7873.76799967471,3,343,0
2015-2017,16,15-19,<HS,0,0,0,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,4594.68114809393,3,330,0
2015-2017,22,20-24,Some College,0,3,3,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,10784.8050217236,4,329,1
2015-2017,26,25-29,HS,2,0,2,Non-Hispanic White,Never Married,1,1,White,Non-Hispanic,Never Married,5195.99388969175,4,337,0
2015-2017,36,35-39,Bachelor,0,0,0,Hispanic,Never Married,0,0,White,Hispanic,Never Married,2950.65934888915,3,337,0
2015-2017,35,35-39,Some College,3,0,3,Hispanic,Formerly Married,1,1,White,Hispanic,Formerly Married,2278.581572865,1,330,0
2015-2017,16,15-19,<HS,0,1,1,Other or Multiple,Never Married,0,0,Other,Non-Hispanic,Never Married,3581.32017165052,4,305,1
2015-2017,42,40-44,Post-Grad,1,0,1,Non-Hispanic Black,Married,0,0,Black,Non-Hispanic,Married,3017.88318788005,3,322,0
2015-2017,19,15-19,Some College,0,3,3,Hispanic,Never Married,0,0,White,Hispanic,Never Married,2934.8921599791,1,312,1
2015-2017,24,20-24,HS,2,0,2,Hispanic,Married,1,1,Other,Hispanic,Married,5439.93357975818,2,367,0
2015-2017,30,30-34,Some College,2,1,3,Hispanic,Married,0,0,White,Hispanic,Married,6204.08352476377,4,312,1
2015-2017,24,20-24,HS,0,2,2,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,26118.2423205442,4,322,1
2015-2017,39,35-39,Bachelor,1,1,2,Non-Hispanic White,Married,1,1,White,Non-Hispanic,Married,10430.516071062,2,364,1
2015-2017,17,15-19,<HS,0,0,0,Other or Multiple,Never Married,0,0,Other,Non-Hispanic,Never Married,6589.15778161205,3,337,0
2015-2017,28,25-29,<HS,1,1,2,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,4483.96053614026,4,311,1
2015-2017,22,20-24,HS,0,2,2,Hispanic,Cohabitating,0,0,Black,Hispanic,Never Married,4124.83836887853,2,337,1
2015-2017,21,20-24,HS,0,3,3,Hispanic,Married,0,0,Other,Hispanic,Married,3364.45751201833,1,347,1
2015-2017,26,25-29,Some College,1,0,1,Other or Multiple,Never Married,1,1,White,Non-Hispanic,Never Married,3141.01672162681,1,312,0
2015-2017,17,15-19,<HS,0,3,3,Hispanic,Never Married,0,0,White,Hispanic,Never Married,9602.8268284631,4,337,1
2015-2017,15,15-19,<HS,0,0,0,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,5117.40383136425,2,368,0
2015-2017,30,30-34,Bachelor,0,2,2,Non-Hispanic White,Cohabitating,0,0,White,Non-Hispanic,Never Married,6229.36419048295,2,364,1
2015-2017,19,15-19,Some College,0,2,2,Hispanic,Never Married,0,0,White,Hispanic,Never Married,5534.4649986995,2,312,1
2015-2017,41,40-44,Some College,2,0,2,Non-Hispanic Black,Formerly Married,0,0,Black,Non-Hispanic,Formerly Married,13310.7137170378,2,364,0
2015-2017,20,20-24,<HS,0,2,2,Hispanic,Cohabitating,0,0,Other,Hispanic,Never Married,63048.2115793815,3,322,1
2015-2017,43,40-44,Bachelor,0,0,0,Hispanic,Never Married,0,0,White,Hispanic,Never Married,3336.3412066491,2,367,0
2015-2017,25,25-29,Some College,0,1,1,Hispanic,Cohabitating,0,0,White,Hispanic,Never Married,4485.68367788863,1,330,1
2015-2017,16,15-19,<HS,0,2,2,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,7356.42566766643,3,331,1
2015-2017,35,35-39,HS,2,1,3,Hispanic,Married,0,0,White,Hispanic,Married,20228.2537819709,4,351,1
2015-2017,20,20-24,HS,0,3,3,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,3978.54675439461,3,311,1
2015-2017,32,30-34,HS,2,1,3,Hispanic,Formerly Married,0,0,White,Hispanic,Formerly Married,3510.90489584057,2,330,1
2015-2017,19,15-19,HS,0,3,3,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,5865.5021999974,1,316,1
2015-2017,24,20-24,HS,0,2,2,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,7594.38865836962,1,329,1
2015-2017,35,35-39,Bachelor,0,0,0,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,23970.2961400313,2,368,0
2015-2017,30,30-34,HS,3,1,4,Non-Hispanic White,Cohabitating,1,1,White,Non-Hispanic,Never Married,6624.31243961531,1,366,1
2015-2017,36,35-39,HS,1,0,1,Hispanic,Formerly Married,0,0,Black,Hispanic,Formerly Married,11113.8439341395,1,347,0
2015-2017,19,15-19,HS,0,0,0,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,1924.916,1,364,0
2015-2017,38,35-39,Bachelor,5,1,6,Other or Multiple,Married,1,1,Other,Non-Hispanic,Married,5347.65078413009,4,309,1
2015-2017,24,20-24,Bachelor,0,2,2,Other or Multiple,Never Married,0,0,Other,Non-Hispanic,Never Married,22320.2058770086,3,351,1
2015-2017,28,25-29,Bachelor,0,2,2,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,2939.55233121043,1,364,1
2015-2017,36,35-39,Some College,1,0,1,Non-Hispanic White,Formerly Married,0,0,White,Non-Hispanic,Formerly Married,7132.11885520804,4,343,0
2015-2017,33,30-34,<HS,4,0,4,Hispanic,Married,1,1,White,Hispanic,Married,10257.9517123478,1,365,0
2015-2017,15,15-19,<HS,0,3,3,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,106774.4,4,311,1
2015-2017,28,25-29,Some College,0,0,0,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,5722.76079201358,2,316,0
2015-2017,41,40-44,Bachelor,2,0,2,Other or Multiple,Married,0,0,White,Non-Hispanic,Married,11240.2429113239,3,309,0
2015-2017,24,20-24,Some College,0,4,4,Hispanic,Never Married,0,0,White,Hispanic,Never Married,11766.9981963009,4,305,1
2015-2017,23,20-24,HS,1,1,2,Non-Hispanic White,Never Married,1,1,White,Non-Hispanic,Never Married,11629.2126987452,2,316,1
2015-2017,28,25-29,Bachelor,0,2,2,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,18738.0449411869,3,305,1
2015-2017,29,25-29,HS,2,0,2,Hispanic,Formerly Married,0,0,White,Hispanic,Formerly Married,3379.9905463618,4,305,0
2015-2017,16,15-19,<HS,0,2,2,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,3141.2640149541,1,367,1
2015-2017,31,30-34,Some College,3,1,4,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,2320.32219385458,2,364,1
2015-2017,32,30-34,HS,0,0,0,Hispanic,Never Married,0,0,White,Hispanic,Never Married,17622.5344013796,2,311,0
2015-2017,27,25-29,Bachelor,0,2,2,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,70804.4801876104,3,347,1
2015-2017,24,20-24,Some College,3,0,3,Other or Multiple,Cohabitating,3,1,Black,Non-Hispanic,Never Married,6658.59484735598,2,322,0
2015-2017,39,35-39,Bachelor,0,2,2,Other or Multiple,Formerly Married,0,0,Other,Non-Hispanic,Formerly Married,4875.30467673354,3,337,1
2015-2017,33,30-34,Bachelor,2,1,3,Non-Hispanic White,Married,2,1,White,Non-Hispanic,Married,6642.64300267913,3,309,1
2015-2017,28,25-29,Post-Grad,1,0,1,Non-Hispanic White,Formerly Married,1,1,White,Non-Hispanic,Formerly Married,16925.6283832754,3,331,0
2015-2017,31,30-34,HS,1,1,2,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,2220.49103929542,3,316,1
2015-2017,25,25-29,Bachelor,0,2,2,Hispanic,Never Married,0,0,Other,Hispanic,Never Married,6259.13906235607,1,309,1
2015-2017,21,20-24,Some College,0,0,0,Hispanic,Never Married,0,0,Other,Hispanic,Never Married,4004.49376520848,3,351,0
2015-2017,41,40-44,Bachelor,2,0,2,Hispanic,Married,0,0,White,Hispanic,Married,11384.4178474636,4,305,0
2015-2017,31,30-34,HS,3,0,3,Non-Hispanic White,Married,2,1,White,Non-Hispanic,Married,4937.48391087315,1,316,0
2015-2017,19,15-19,HS,0,1,1,Non-Hispanic White,Cohabitating,0,0,White,Non-Hispanic,Never Married,20743.9824668229,3,366,1
2015-2017,25,25-29,HS,1,1,2,Other or Multiple,Never Married,1,1,Black,Non-Hispanic,Never Married,5127.38718695203,4,351,1
2015-2017,25,25-29,Some College,0,1,1,Hispanic,Cohabitating,0,0,Black,Hispanic,Formerly Married,9194.912799231,4,305,1
2015-2017,31,30-34,Bachelor,1,1,2,Hispanic,Married,1,1,White,Hispanic,Married,16405.3867611905,3,305,1
2015-2017,18,15-19,HS,0,3,3,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,18293.8030468105,2,351,1
2015-2017,41,40-44,Bachelor,1,0,1,Non-Hispanic Black,Married,0,0,Black,Non-Hispanic,Married,17171.9096784308,3,365,0
2015-2017,44,40-44,Bachelor,0,0,0,Hispanic,Never Married,0,0,White,Hispanic,Never Married,29265.5654299944,3,331,0
2015-2017,32,30-34,Bachelor,0,2,2,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,8952.55390271198,3,305,1
2015-2017,35,35-39,Post-Grad,0,0,0,Other or Multiple,Married,0,0,Other,Non-Hispanic,Married,17385.1026346519,4,331,0
2015-2017,36,35-39,HS,3,0,3,Hispanic,Married,0,0,White,Hispanic,Married,23224.5076364711,1,365,0
2015-2017,39,35-39,Post-Grad,2,1,3,Non-Hispanic White,Formerly Married,1,1,White,Non-Hispanic,Formerly Married,11578.0075304898,2,351,1
2015-2017,19,15-19,HS,1,2,3,Other or Multiple,Cohabitating,1,1,White,Non-Hispanic,Never Married,6482.94725092804,2,309,1
2015-2017,42,40-44,HS,3,0,3,Hispanic,Married,0,0,White,Hispanic,Married,5819.60088507107,3,351,0
2015-2017,18,15-19,Some College,0,2,2,Hispanic,Never Married,0,0,White,Hispanic,Never Married,29705.6498479457,1,343,1
2015-2017,28,25-29,Post-Grad,0,3,3,Hispanic,Cohabitating,0,0,White,Hispanic,Never Married,5910.62178182418,1,367,1
2015-2017,38,35-39,Some College,3,0,3,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,4747.30086943639,3,367,0
2015-2017,23,20-24,<HS,1,2,3,Non-Hispanic White,Never Married,1,1,White,Non-Hispanic,Never Married,8481.41348200865,2,316,1
2015-2017,35,35-39,Some College,4,0,4,Hispanic,Formerly Married,0,0,White,Hispanic,Formerly Married,1924.916,4,347,0
2015-2017,36,35-39,<HS,0,0,0,Hispanic,Married,0,0,Other,Hispanic,Married,31151.1788989722,3,351,0
2015-2017,18,15-19,Some College,0,0,0,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,6646.55574888428,3,331,0
2015-2017,35,35-39,Some College,1,0,1,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,16848.1389893885,2,347,0
2015-2017,18,15-19,HS,0,2,2,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,11890.1812258029,2,364,1
2015-2017,43,40-44,Bachelor,2,0,2,Non-Hispanic White,Formerly Married,0,0,White,Non-Hispanic,Formerly Married,26204.4972497487,1,364,0
2015-2017,27,25-29,Some College,1,0,1,Non-Hispanic Black,Never Married,1,1,Black,Non-Hispanic,Never Married,4912.01595028985,2,330,0
2015-2017,29,25-29,HS,2,0,2,Non-Hispanic Black,Cohabitating,0,0,Black,Non-Hispanic,Never Married,8029.41596440968,1,331,0
2015-2017,39,35-39,Bachelor,2,1,3,Non-Hispanic Black,Formerly Married,2,1,Black,Non-Hispanic,Formerly Married,3197.84173592205,3,343,1
2015-2017,38,35-39,Bachelor,1,0,1,Non-Hispanic White,Married,1,1,White,Non-Hispanic,Married,8549.31264288748,2,351,0
2015-2017,28,25-29,HS,0,2,2,Non-Hispanic Black,Cohabitating,0,0,Black,Non-Hispanic,Never Married,12113.5248338014,4,311,1
2015-2017,44,40-44,HS,4,0,4,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,4405.77831730992,1,329,0
2015-2017,32,30-34,Some College,5,2,7,Other or Multiple,Married,2,1,White,Non-Hispanic,Married,45917.3909884885,3,305,1
2015-2017,29,25-29,Bachelor,0,1,1,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,20635.2149294262,2,330,1
2015-2017,21,20-24,Some College,0,3,3,Hispanic,Cohabitating,0,0,White,Hispanic,Never Married,5403.77996169537,1,330,1
2015-2017,23,20-24,Bachelor,0,2,2,Hispanic,Never Married,0,0,White,Hispanic,Never Married,4644.36984761109,2,312,1
2015-2017,15,15-19,<HS,0,2,2,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,15507.6656377693,3,364,1
2015-2017,31,30-34,HS,0,3,3,Other or Multiple,Never Married,0,0,Black,Non-Hispanic,Never Married,7804.25957628448,1,316,1
2015-2017,27,25-29,HS,2,0.5,2.5,Non-Hispanic White,Cohabitating,1,1,White,Non-Hispanic,Formerly Married,18575.9647141433,3,347,1
2015-2017,23,20-24,Some College,0,1,1,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,44095.5761594707,2,347,1
2015-2017,28,25-29,Bachelor,1,1,2,Non-Hispanic White,Married,1,1,White,Non-Hispanic,Married,21183.4968129807,2,367,1
2015-2017,19,15-19,<HS,0,6,6,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,4147.91856994012,4,365,1
2015-2017,30,30-34,Some College,2,0,2,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,2446.94945182053,2,329,0
2015-2017,33,30-34,HS,2,0,2,Hispanic,Formerly Married,1,1,White,Hispanic,Formerly Married,46708.4966345049,1,305,0
2015-2017,38,35-39,HS,2,1,3,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,54551.4551759826,3,331,1
2015-2017,31,30-34,Some College,3,0,3,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,6045.94389099435,2,311,0
2015-2017,36,35-39,HS,2,0,2,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,4057.95296178973,4,329,0
2015-2017,17,15-19,<HS,0,2,2,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,6604.66764268119,4,368,1
2015-2017,21,20-24,HS,1,1,2,Non-Hispanic White,Never Married,1,1,White,Non-Hispanic,Never Married,3318.51988408089,1,312,1
2015-2017,38,35-39,<HS,3,1,4,Hispanic,Cohabitating,1,1,White,Hispanic,Never Married,17906.602383525,1,330,1
2015-2017,33,30-34,<HS,1,0,1,Other or Multiple,Never Married,0,0,White,Non-Hispanic,Never Married,12851.0598511258,1,331,0
2015-2017,24,20-24,<HS,1,0,1,Non-Hispanic White,Formerly Married,1,1,White,Non-Hispanic,Formerly Married,9583.3039907008,3,347,0
2015-2017,35,35-39,Bachelor,2,1,3,Non-Hispanic White,Cohabitating,2,1,White,Non-Hispanic,Never Married,58775.4681190889,4,347,1
2015-2017,17,15-19,<HS,0,0,0,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,3147.46707351161,4,368,0
2015-2017,31,30-34,Some College,1,2,3,Non-Hispanic White,Married,1,1,White,Non-Hispanic,Married,18165.0851013974,2,309,1
2015-2017,19,15-19,HS,0,0,0,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,6556.80195317693,2,330,0
2015-2017,32,30-34,<HS,1,1,2,Hispanic,Never Married,0,0,Black,Hispanic,Never Married,2234.95771080845,1,330,1
2015-2017,30,30-34,Some College,0,2,2,Other or Multiple,Married,0,0,Black,Non-Hispanic,Married,4477.85303763449,2,364,1
2015-2017,33,30-34,Bachelor,1,1,2,Other or Multiple,Married,1,1,Other,Non-Hispanic,Married,5378.17360579067,3,337,1
